BIOGRID_ID	IDENTIFIER_VALUE
121386	P57740
123245	Q6UXN9
108993	P23378
123249	Q9Y228
108996	Q92896
108997	P08151
108998	P10070
109000	P10075
109001	Q04760
109002	P43220
109003	P23415
109004	P23416
109005	P48167
120281	Q96EQ8
120283	Q9NX36
109007	P35754
109009	P49448
109014	P15104
109022	P17900
120265	Q9NX65
109026	P60983
109027	Q99445
109028	P36959
109029	P29992
109031	P30679
109032	P63096
109033	P04899
109035	P08754
109036	P38405
116040	Q9NRY5
116022	Q92598
116016	O95486
116015	Q9UHD8
123161	Q96H55
109041	P11488
109045	P62879
109047	P63215
109049	P63218
109050	O60262
109052	P50151
109053	P61952
109054	P63211
109055	O14610
109056	P36915
109058	P01148
109059	O43555
109060	P30968
109061	P15586
109062	Q92805
109063	Q08379
123184	Q8NDM7
123186	Q9H8M1
109067	P17174
109068	P00505
109072	P31947
109073	P07359
109074	P13224
109075	P55259
109076	P40197
109077	P14770
109079	P35052
109080	P21695
123189	Q6WKZ4
123191	Q9BRP4
109083	P80108
109084	P51674
109085	Q13491
109086	P46091
109087	P46092
109088	P46089
109089	P46093
109090	P46094
109091	P46095
109092	P48145
109093	P48146
109094	P49682
109095	P49683
109096	P47775
109097	Q9UKP6
109098	P49685
109099	Q13304
109100	Q14330
109101	Q15760
109102	Q99678
109103	Q99679
109104	Q99680
109105	Q99677
109106	Q99705
109107	O00155
109108	Q8NDV2
109109	Q9NS67
109110	Q99527
109111	O00270
109112	O75388
109114	Q49SQ1
109115	Q9UPC5
109117	Q9HC97
109119	O15354
109120	O43193
109121	O43194
109122	O14842
109123	O14843
109125	O15552
123193	Q96T51
109127	P34947
109130	Q9HBH9
123204	Q9BSU1
109132	Q13227
109133	P24298
109134	P07203
109135	P18283
109136	P22352
109137	P36969
109138	O75715
109139	Q96SL4
109142	P62993
123216	Q9BUP0
123217	Q9H6R7
109144	Q13322
109145	Q14449
